Round,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
ARS,"0,6901"
AVI,"0,4656"
BOU,"0,0477"
BRE,"0,4904"
BRI,"0,5702"
CHE,"0,6697"
CP ,"0,0801"
EVE,"0,2655"
FUL,"0,1179"
LEE,"0,1975"
LEI,"0,1352"
LIV,"0,8293"
MAC,"0,7693"
MAU,"0,4513"
NEW,"0,3306"
NFO,"0,158"
SOU,"0,3121"
TOT,"0,6359"
WHA,"0,2832"
WOL,"0,3965"
